Column1,Firmware_CRC32,Battery_Volt_Test,Running_Curr_Test,Modem_FW_Test,Modem_IMEI_Test,SIM_ICCID_Test,Crystal_Test_ppm,Crystal_Test_kHz,Standby_Curr_Test,Sleep_Curr_Test,Fail,Final_Result,DATE_TIME,TESTER_ID,TEAM_SN,Operator,Test_Start_Time,Test_Finish_Time,Test_Total_Time,Check_Accelerometer,NFC_ID_Test,Measure_Pressure_Sensor,Check_Version_Hardware,3V7_LTE_Volt_Test,Check_SW1_Test,Check_SW2_Test,Processor_Functional,Measure_Light_Sensor_Dark,Measure_Light_Sensor_Light,Measure_Temp_Sensor,Measure_Humidity_Sensor,Check_Memory_EEPROM,Led1_Red_On,Led1_Green_On,Led1_Blue_On,Led2_Red_On,Led2_Green_On,Led2_Blue_On,Check_Version_Application,
KM6TZ00Y80,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:07:42,SST Denali#3,5221101001483,81155,2022.11.05 18:58:23,2022.11.05 19:07:42,'00:09:19,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00YA0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:24:48,SST Denali#3,5221101000872,81155,2022.11.05 19:18:13,2022.11.05 19:24:48,'00:06:35,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00ZK0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:24:56,SST Denali#3,5221101000873,81155,2022.11.05 19:18:13,2022.11.05 19:24:56,'00:06:43,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00ZM0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:25:07,SST Denali#3,5221101000874,81155,2022.11.05 19:18:13,2022.11.05 19:25:07,'00:06:54,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00X30,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:25:15,SST Denali#3,5221101000875,81155,2022.11.05 19:18:13,2022.11.05 19:25:15,'00:07:02,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ012T0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:42:29,SST Denali#3,5221101000612,81155,2022.11.05 19:35:42,2022.11.05 19:42:29,'00:06:47,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ01300,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:42:46,SST Denali#3,5221101000614,81155,2022.11.05 19:35:43,2022.11.05 19:42:46,'00:07:03,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM7TZ002D0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:42:54,SST Denali#3,5221101000613,81155,2022.11.05 19:35:42,2022.11.05 19:42:54,'00:07:12,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM7TZ002J0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:43:03,SST Denali#3,5221101000615,81155,2022.11.05 19:35:42,2022.11.05 19:43:03,'00:07:21,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00ZV0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:52:50,SST Denali#3,5221101001447,81155,2022.11.05 19:43:23,2022.11.05 19:52:50,'00:09:27,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ01030,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 19:53:01,SST Denali#3,5221101001450,81155,2022.11.05 19:43:23,2022.11.05 19:53:01,'00:09:38,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00S10,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 20:16:45,SST Denali#3,5221101000050,,2022.11.05 20:06:59,2022.11.05 20:16:45,'00:09:46,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ00SD0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 20:16:56,SST Denali#3,5221101000047,,2022.11.05 20:06:59,2022.11.05 20:16:56,'00:09:57,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ011B0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 20:24:15,SST Denali#3,5221101000039,,2022.11.05 20:18:15,2022.11.05 20:24:15,'00:06:00,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KM6TZ011E0,TTGeoEagle_2G_v1.02.00.04_27APR21.mot,-,-,'-,'-,'-,-,-,-,-,-,PASS,2022.11.05 20:24:31,SST Denali#3,5221101000038,,2022.11.05 20:18:16,2022.11.05 20:24:31,'00:06:15,-,'-,-,'-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
